contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY250514P00365000,2025-05-05 14:54:44+00:00,365.0,0.01,0.0,0.01,0.0,0.0,1,0,0.937500625,False,REGULAR,USD
SPY250514P00395000,2025-05-07 19:51:55+00:00,395.0,0.01,0.0,0.01,0.0,0.0,20,21,0.7812521875,False,REGULAR,USD
SPY250514P00400000,2025-05-07 16:39:20+00:00,400.0,0.03,0.01,0.02,0.0,0.0,1,102,0.8203142968749999,False,REGULAR,USD
SPY250514P00405000,2025-05-06 18:56:11+00:00,405.0,0.03,0.01,0.02,0.0,0.0,3,105,0.789064609375,False,REGULAR,USD
SPY250514P00410000,2025-05-06 20:06:58+00:00,410.0,0.03,0.01,0.02,0.0,0.0,6,7,0.7656273437500001,False,REGULAR,USD
SPY250514P00415000,2025-05-07 14:16:55+00:00,415.0,0.02,0.01,0.02,0.0,0.0,1,4,0.73437765625,False,REGULAR,USD
SPY250514P00425000,2025-05-07 20:14:55+00:00,425.0,0.02,0.01,0.02,0.0,0.0,1,5,0.6875031250000001,False,REGULAR,USD
SPY250514P00430000,2025-05-06 13:50:51+00:00,430.0,0.04,0.01,0.02,0.0,0.0,1,2,0.6562534375000001,False,REGULAR,USD
SPY250514P00435000,2025-05-06 13:37:34+00:00,435.0,0.04,0.01,0.02,0.0,0.0,1,2,0.632816171875,False,REGULAR,USD
SPY250514P00440000,2025-05-08 14:02:44+00:00,440.0,0.02,0.02,0.03,-0.030000001,-60.0,6,8,0.6367223828125,False,REGULAR,USD
SPY250514P00450000,2025-05-07 14:25:05+00:00,450.0,0.05,0.02,0.03,0.0,0.0,1,66,0.585941640625,False,REGULAR,USD
SPY250514P00455000,2025-05-07 18:37:36+00:00,455.0,0.07,0.03,0.04,0.0,0.0,87,115,0.57812921875,False,REGULAR,USD
SPY250514P00460000,2025-05-08 15:02:31+00:00,460.0,0.04,0.03,0.04,-0.060000002,-60.0,1,3,0.5507857421875001,False,REGULAR,USD
SPY250514P00465000,2025-05-07 18:41:40+00:00,465.0,0.08,0.03,0.04,0.0,0.0,354,409,0.5273484765625001,False,REGULAR,USD
SPY250514P00470000,2025-05-07 19:12:11+00:00,470.0,0.08,0.04,0.05,0.0,0.0,388,294,0.5136767382812499,False,REGULAR,USD
SPY250514P00475000,2025-05-07 17:24:50+00:00,475.0,0.05,0.05,0.06,-0.06,-54.545456,1,11,0.5019581054687501,False,REGULAR,USD
SPY250514P00480000,2025-05-08 13:36:07+00:00,480.0,0.05,0.05,0.06,-0.040000003,-44.444447,20,147,0.476567734375,False,REGULAR,USD
SPY250514P00485000,2025-05-07 15:13:57+00:00,485.0,0.15,0.06,0.07,0.0,0.0,60,154,0.45703667968750006,False,REGULAR,USD
SPY250514P00490000,2025-05-07 20:09:09+00:00,490.0,0.06,0.07,0.08,-0.040000003,-40.000004,1,135,0.437505625,False,REGULAR,USD
SPY250514P00495000,2025-05-07 17:59:06+00:00,495.0,0.23,0.08,0.09,0.0,0.0,2,211,0.41602146484374997,False,REGULAR,USD
SPY250514P00500000,2025-05-08 14:05:32+00:00,500.0,0.09,0.09,0.1,-0.09,-49.999996,57,801,0.39453730468750003,False,REGULAR,USD
SPY250514P00503000,2025-05-08 13:52:53+00:00,503.0,0.11,0.11,0.12,-0.19000001,-63.333336,1,169,0.38721315917968746,False,REGULAR,USD
SPY250514P00504000,2025-05-08 13:50:30+00:00,504.0,0.11,0.1,0.11,-0.2,-64.51613,1,191,0.37695935546875,False,REGULAR,USD
SPY250514P00505000,2025-05-08 13:48:41+00:00,505.0,0.12,0.12,0.13,-0.1,-45.454544,9,224,0.379889013671875,False,REGULAR,USD
SPY250514P00506000,2025-05-07 19:53:11+00:00,506.0,0.2,0.12,0.13,0.0,0.0,242,244,0.3745179736328125,False,REGULAR,USD
SPY250514P00507000,2025-05-08 13:34:15+00:00,507.0,0.14,0.13,0.14,-0.060000002,-30.0,2,44,0.37256486816406253,False,REGULAR,USD
SPY250514P00508000,2025-05-08 13:36:00+00:00,508.0,0.14,0.13,0.14,-0.22000001,-61.111115,1,115,0.367193828125,False,REGULAR,USD
SPY250514P00509000,2025-05-08 14:54:46+00:00,509.0,0.15,0.12,0.13,-0.19999999,-57.142853,4,125,0.35742830078125,False,REGULAR,USD
SPY250514P00510000,2025-05-08 13:57:23+00:00,510.0,0.16,0.14,0.15,-0.21000001,-56.756756,65,538,0.35938140625,False,REGULAR,USD
SPY250514P00511000,2025-05-08 14:26:36+00:00,511.0,0.15,0.14,0.15,-0.13999999,-48.275856,10,292,0.35352208984374994,False,REGULAR,USD
SPY250514P00512000,2025-05-07 18:11:44+00:00,512.0,0.42,0.15,0.16,0.0,0.0,197,226,0.35108070800781244,False,REGULAR,USD
SPY250514P00513000,2025-05-08 14:55:57+00:00,513.0,0.18,0.15,0.16,-0.09,-33.333332,80,1533,0.3452213916015625,False,REGULAR,USD
