contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY250523P00300000,2025-05-07 16:38:33+00:00,300.0,0.02,0.01,0.02,0.0,0.0,40.0,1250,0.9531254687499999,False,REGULAR,USD
SPY250523P00305000,2025-05-02 15:01:52+00:00,305.0,0.03,0.01,0.02,0.0,0.0,1.0,922,0.929688203125,False,REGULAR,USD
SPY250523P00310000,2025-05-07 19:36:33+00:00,310.0,0.01,0.01,0.02,-0.02,-40.000004,1.0,489,0.9062509375,False,REGULAR,USD
SPY250523P00315000,2025-05-07 19:52:31+00:00,315.0,0.02,0.01,0.02,0.0,0.0,19.0,364,0.8828136718749999,False,REGULAR,USD
SPY250523P00320000,2025-05-07 15:23:09+00:00,320.0,0.03,0.01,0.02,0.0,0.0,1.0,1231,0.85937640625,False,REGULAR,USD
SPY250523P00325000,2025-05-08 14:23:21+00:00,325.0,0.02,0.01,0.02,-0.01,-33.333336,4.0,636,0.8359391406249999,False,REGULAR,USD
SPY250523P00330000,2025-05-08 14:11:15+00:00,330.0,0.02,0.02,0.03,-0.02,-50.0,20.0,735,0.851563984375,False,REGULAR,USD
SPY250523P00335000,2025-05-07 14:11:50+00:00,335.0,0.03,0.02,0.03,0.0,0.0,2.0,1554,0.8281267187499999,False,REGULAR,USD
SPY250523P00340000,2025-05-07 14:46:17+00:00,340.0,0.04,0.02,0.03,0.0,0.0,1.0,1265,0.804689453125,False,REGULAR,USD
SPY250523P00345000,2025-05-07 17:13:41+00:00,345.0,0.04,0.02,0.03,0.0,0.0,8.0,1193,0.7851583984375,False,REGULAR,USD
SPY250523P00350000,2025-05-07 13:42:25+00:00,350.0,0.05,0.02,0.03,0.0,0.0,1.0,1208,0.7656273437500001,False,REGULAR,USD
SPY250523P00355000,2025-05-08 14:25:04+00:00,355.0,0.03,0.02,0.03,-0.020000001,-40.000004,16.0,1033,0.7421900781249999,False,REGULAR,USD
SPY250523P00360000,2025-05-05 16:27:05+00:00,360.0,0.06,0.03,0.04,0.0,0.0,103.0,1086,0.7421900781249999,False,REGULAR,USD
SPY250523P00365000,2025-05-05 15:00:58+00:00,365.0,0.06,0.04,0.05,0.0,0.0,2.0,956,0.7382838671874999,False,REGULAR,USD
SPY250523P00370000,2025-05-07 19:57:19+00:00,370.0,0.03,0.04,0.05,-0.020000001,-40.000004,1.0,961,0.7187528125,False,REGULAR,USD
SPY250523P00375000,2025-05-02 19:43:38+00:00,375.0,0.04,0.04,0.05,-0.04,-50.0,2.0,1183,0.6972686523437501,False,REGULAR,USD
SPY250523P00380000,2025-05-08 13:30:00+00:00,380.0,0.05,0.05,0.06,-0.040000003,-44.444447,3.0,1331,0.6894562304687502,False,REGULAR,USD
SPY250523P00385000,2025-05-05 13:49:31+00:00,385.0,0.1,0.05,0.06,0.0,0.0,25.0,1853,0.6699251757812501,False,REGULAR,USD
SPY250523P00390000,2025-05-07 13:41:30+00:00,390.0,0.1,0.06,0.07,0.0,0.0,1.0,1846,0.6601596484375001,False,REGULAR,USD
SPY250523P00395000,2025-05-06 16:26:05+00:00,395.0,0.11,0.07,0.07,0.0,0.0,2.0,1629,0.6445348046875,False,REGULAR,USD
SPY250523P00400000,2025-05-08 14:03:59+00:00,400.0,0.08,0.07,0.08,-0.010000005,-11.111116,14.0,2727,0.6279334082031252,False,REGULAR,USD
SPY250523P00405000,2025-05-08 14:52:18+00:00,405.0,0.07,0.08,0.09,-0.009999998,-12.499997,9.0,37233,0.6152382226562501,False,REGULAR,USD
SPY250523P00410000,2025-05-08 13:51:14+00:00,410.0,0.08,0.09,0.1,-0.010000005,-11.111116,2.0,1491,0.6025430371093752,False,REGULAR,USD
SPY250523P00415000,2025-05-07 20:03:37+00:00,415.0,0.11,0.1,0.11,0.009999998,11.111108,1.0,1270,0.58789474609375,False,REGULAR,USD
SPY250523P00420000,2025-05-07 19:43:06+00:00,420.0,0.13,0.11,0.12,0.0,0.0,65.0,2000,0.5742230078125,False,REGULAR,USD
SPY250523P00425000,2025-05-08 13:56:12+00:00,425.0,0.12,0.12,0.13,-0.080000006,-40.000004,2.0,1368,0.5585981640625001,False,REGULAR,USD
SPY250523P00430000,2025-05-07 19:53:30+00:00,430.0,0.13,0.14,0.15,-0.050000012,-27.777782,2.0,2025,0.5478560839843751,False,REGULAR,USD
SPY250523P00435000,2025-05-07 16:17:09+00:00,435.0,0.23,0.16,0.17,0.0,0.0,48.0,861,0.5361374511718751,False,REGULAR,USD
SPY250523P00440000,2025-05-08 14:34:25+00:00,440.0,0.15,0.16,0.18,-0.120000005,-44.444443,36.0,72507,0.51758294921875,False,REGULAR,USD
SPY250523P00445000,2025-05-08 13:49:50+00:00,445.0,0.18,0.19,0.2,-0.03999999,-18.181814,2.0,4909,0.5053760400390624,False,REGULAR,USD
SPY250523P00450000,2025-05-08 14:33:49+00:00,450.0,0.18,0.21,0.21,-0.06999999,-27.999996,25.0,4381,0.4897511962890626,False,REGULAR,USD
SPY250523P00455000,2025-05-08 13:59:28+00:00,455.0,0.23,0.22,0.24,-0.08999999,-28.124998,12.0,2137,0.477544287109375,False,REGULAR,USD
SPY250523P00460000,2025-05-08 14:32:12+00:00,460.0,0.23,0.26,0.27,-0.07000001,-23.333336,50.0,5369,0.4643608251953125,False,REGULAR,USD
SPY250523P00465000,2025-05-08 14:30:19+00:00,465.0,0.25,0.28,0.29,-0.110000014,-30.55556,7.0,1890,0.4480035668945312,False,REGULAR,USD
SPY250523P00470000,2025-05-08 13:45:41+00:00,470.0,0.31,0.31,0.33,-0.099999994,-24.390242,6.0,2820,0.43530838134765626,False,REGULAR,USD
SPY250523P00475000,2025-05-08 14:44:51+00:00,475.0,0.31,0.34,0.36,-0.09,-22.5,12.0,37219,0.41968353759765625,False,REGULAR,USD
SPY250523P00480000,2025-05-08 14:59:18+00:00,480.0,0.39,0.37,0.38,-0.13,-25.0,35.0,3111,0.4018614501953125,False,REGULAR,USD
SPY250523P00485000,2025-05-08 14:55:08+00:00,485.0,0.44,0.43,0.44,-0.089999974,-16.981127,134.0,1735,0.389654541015625,False,REGULAR,USD
SPY250523P00490000,2025-05-08 15:02:21+00:00,490.0,0.48,0.45,0.47,-0.060000032,-11.111116,15.0,3384,0.372076591796875,False,REGULAR,USD
SPY250523P00495000,2025-05-08 14:36:46+00:00,495.0,0.47,0.52,0.53,-0.15,-24.19355,16.0,12461,0.3579165771484375,False,REGULAR,USD
SPY250523P00500000,2025-05-08 15:08:06+00:00,500.0,0.58,0.58,0.59,-0.14000005,-19.44445,316.0,4764,0.3425358715820312,False,REGULAR,USD
SPY250523P00505000,2025-05-08 14:39:49+00:00,505.0,0.64,0.67,0.69,-0.21000004,-24.705887,95.0,4639,0.32996275512695306,False,REGULAR,USD
SPY250523P00506000,2025-05-08 14:53:25+00:00,506.0,0.68,0.68,0.7,-0.34999996,-33.98058,45.0,1293,0.3263006823730469,False,REGULAR,USD
SPY250523P00507000,2025-05-08 14:55:22+00:00,507.0,0.79,0.71,0.73,-0.109999955,-12.222218,36.0,386,0.3244696459960937,False,REGULAR,USD
SPY250523P00508000,2025-05-08 14:56:03+00:00,508.0,0.84,0.72,0.73,-0.09000003,-9.6774235,6.0,493,0.3198310205078124,False,REGULAR,USD
SPY250523P00509000,2025-05-08 14:45:17+00:00,509.0,0.71,0.75,0.76,-0.3,-29.702972,5.0,438,0.3178779150390625,False,REGULAR,USD
SPY250523P00510000,2025-05-08 14:58:48+00:00,510.0,0.83,0.78,0.8,-0.14000005,-14.432994,129.0,3000,0.31653515502929686,False,REGULAR,USD
SPY250523P00511000,2025-05-08 13:30:43+00:00,511.0,0.85,0.79,0.81,-0.14999998,-14.999998,35.0,368,0.31262894409179687,False,REGULAR,USD
SPY250523P00512000,2025-05-08 14:28:37+00:00,512.0,0.78,0.82,0.84,-0.18,-18.75,19.0,546,0.3103096313476562,False,REGULAR,USD
SPY250523P00513000,2025-05-07 19:43:01+00:00,513.0,0.86,0.86,0.88,-0.17999995,-17.307688,3.0,272,0.3087227331542969,False,REGULAR,USD
SPY250523P00514000,2025-05-08 14:17:21+00:00,514.0,0.84,0.89,0.91,-0.39000005,-31.70732,28.0,357,0.3061592822265625,False,REGULAR,USD
SPY250523P00515000,2025-05-08 15:08:11+00:00,515.0,0.93,0.91,0.93,-0.32,-25.6,39.0,1947,0.30286341674804684,False,REGULAR,USD
SPY250523P00516000,2025-05-08 14:57:06+00:00,516.0,1.07,0.95,0.96,-0.120000005,-10.084033,54.0,415,0.3001778967285156,False,REGULAR,USD
SPY250523P00517000,2025-05-08 15:09:15+00:00,517.0,1.0,0.98,1.0,-0.29999995,-23.076921,189.0,361,0.2981027221679687,False,REGULAR,USD
SPY250523P00518000,2025-05-08 14:25:59+00:00,518.0,0.98,1.03,1.04,-0.32999992,-25.190834,19.0,477,0.295905478515625,False,REGULAR,USD
SPY250523P00519000,2025-05-08 14:23:20+00:00,519.0,1.05,1.07,1.09,-0.34000003,-24.460434,13.0,630,0.29431858032226554,False,REGULAR,USD
SPY250523P00520000,2025-05-08 15:06:18+00:00,520.0,1.2,1.14,1.15,-0.25,-17.241379,276.0,8204,0.2930978894042968,False,REGULAR,USD
SPY250523P00521000,2025-05-08 14:22:48+00:00,521.0,1.16,1.15,1.17,-0.48000002,-29.268293,3.0,876,0.2893137475585937,False,REGULAR,USD
SPY250523P00522000,2025-05-08 14:18:45+00:00,522.0,1.4,1.22,1.24,-0.29000008,-17.159767,32.0,509,0.2884592639160155,False,REGULAR,USD
SPY250523P00523000,2025-05-07 19:51:34+00:00,523.0,1.36,1.26,1.29,-0.48000002,-26.086956,18.0,1078,0.28626202026367187,False,REGULAR,USD
SPY250523P00524000,2025-05-08 14:13:17+00:00,524.0,1.47,1.33,1.35,-0.25,-14.5348835,17.0,714,0.28443098388671867,False,REGULAR,USD
SPY250523P00525000,2025-05-08 15:06:43+00:00,525.0,1.45,1.37,1.4,-0.31999993,-18.079092,332.0,4707,0.2819285675048828,False,REGULAR,USD
SPY250523P00526000,2025-05-08 14:56:05+00:00,526.0,1.69,1.43,1.45,-0.3499999,-17.156858,3.0,867,0.27930408203124996,False,REGULAR,USD
SPY250523P00527000,2025-05-08 14:56:42+00:00,527.0,1.7,1.51,1.53,-0.26,-13.2653055,119.0,1063,0.27814442565917963,False,REGULAR,USD
SPY250523P00528000,2025-05-08 13:30:02+00:00,528.0,1.58,1.57,1.6,-0.42999995,-21.393034,8.0,5273,0.27625235473632803,False,REGULAR,USD
SPY250523P00529000,2025-05-08 14:57:32+00:00,529.0,1.78,1.65,1.68,-0.31999993,-15.238092,8.0,449,0.27466545654296876,False,REGULAR,USD
SPY250523P00530000,2025-05-08 14:58:41+00:00,530.0,1.89,1.72,1.74,-0.2800001,-12.90323,121.0,7064,0.2720409710693359,False,REGULAR,USD
SPY250523P00531000,2025-05-08 14:32:36+00:00,531.0,1.69,1.79,1.82,-0.6099999,-26.521734,22.0,397,0.2701489001464844,False,REGULAR,USD
SPY250523P00532000,2025-05-08 14:59:19+00:00,532.0,2.05,1.88,1.91,-0.4100001,-16.66667,39.0,2297,0.26856200195312496,False,REGULAR,USD
SPY250523P00533000,2025-05-08 14:55:52+00:00,533.0,2.33,1.97,2.0,-0.42000008,-15.27273,21.0,353,0.26673096557617193,False,REGULAR,USD
SPY250523P00534000,2025-05-08 14:44:04+00:00,534.0,2.12,2.07,2.09,-0.69000006,-24.555162,7.0,212,0.2647778601074219,False,REGULAR,USD
SPY250523P00535000,2025-05-08 15:01:00+00:00,535.0,2.35,2.17,2.19,-0.47000003,-16.666668,125.0,1394,0.2630078582763672,False,REGULAR,USD
SPY250523P00536000,2025-05-08 14:57:30+00:00,536.0,2.51,2.28,2.31,-1.0899999,-30.277777,5.0,491,0.2618482019042969,False,REGULAR,USD
SPY250523P00537000,2025-05-08 14:08:03+00:00,537.0,2.52,2.38,2.42,-0.53,-17.377048,9.0,555,0.2600782000732422,False,REGULAR,USD
SPY250523P00538000,2025-05-08 14:02:24+00:00,538.0,2.51,2.52,2.54,-1.01,-28.693182,5.0,397,0.2584913018798829,False,REGULAR,USD
SPY250523P00539000,2025-05-08 14:24:26+00:00,539.0,2.7,2.64,2.67,-0.71000004,-20.821114,5.0,461,0.25702647277832036,False,REGULAR,USD
SPY250523P00540000,2025-05-08 15:09:09+00:00,540.0,2.77,2.75,2.8,-0.73,-20.857143,502.0,3769,0.2553785400390626,False,REGULAR,USD
