contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY250515P00330000,2025-05-02 14:23:42+00:00,330.0,0.02,0.0,0.01,0.0,0.0,1,1,1.0625046875000002,False,REGULAR,USD
SPY250515P00335000,2025-05-02 19:30:25+00:00,335.0,0.01,0.0,0.01,0.0,0.0,2,1,1.0312548437500002,False,REGULAR,USD
SPY250515P00340000,2025-05-06 13:53:25+00:00,340.0,0.01,0.0,0.01,0.0,0.0,1,1,1.000005,False,REGULAR,USD
SPY250515P00380000,2025-05-02 14:37:54+00:00,380.0,0.04,0.01,0.02,0.0,0.0,1,1,0.867188828125,False,REGULAR,USD
SPY250515P00390000,2025-05-06 20:07:14+00:00,390.0,0.03,0.01,0.02,0.0,0.0,5,8,0.8125018749999999,False,REGULAR,USD
SPY250515P00400000,2025-05-05 19:10:01+00:00,400.0,0.03,0.01,0.02,0.0,0.0,1,7,0.7656273437500001,False,REGULAR,USD
SPY250515P00415000,2025-05-05 20:00:49+00:00,415.0,0.02,0.02,0.03,-0.02,-50.0,21,106,0.7187528125,False,REGULAR,USD
SPY250515P00430000,2025-05-08 14:45:47+00:00,430.0,0.03,0.03,0.04,-0.020000001,-40.000004,70,6,0.6640658593750002,False,REGULAR,USD
SPY250515P00445000,2025-05-07 15:02:39+00:00,445.0,0.09,0.04,0.05,0.0,0.0,1,1,0.6054726953125001,False,REGULAR,USD
SPY250515P00460000,2025-05-06 13:47:11+00:00,460.0,0.12,0.06,0.07,0.0,0.0,1,1,0.5507857421875001,False,REGULAR,USD
SPY250515P00465000,2025-05-08 13:32:17+00:00,465.0,0.06,0.06,0.07,-0.030000005,-33.333336,43,56,0.52539537109375,False,REGULAR,USD
SPY250515P00470000,2025-05-06 17:35:31+00:00,470.0,0.16,0.07,0.08,0.0,0.0,1,224,0.507817421875,False,REGULAR,USD
SPY250515P00475000,2025-05-08 14:43:55+00:00,475.0,0.08,0.09,0.1,-0.14,-63.636364,3,108,0.49805189453125004,False,REGULAR,USD
SPY250515P00480000,2025-05-07 18:42:49+00:00,480.0,0.1,0.1,0.11,-0.07,-41.17647,50,268,0.477544287109375,False,REGULAR,USD
SPY250515P00485000,2025-05-07 18:17:39+00:00,485.0,0.26,0.11,0.12,0.0,0.0,11,92,0.45703667968750006,False,REGULAR,USD
SPY250515P00490000,2025-05-07 17:49:44+00:00,490.0,0.25,0.13,0.14,0.0,0.0,3,414,0.43897045410156255,False,REGULAR,USD
SPY250515P00495000,2025-05-07 19:11:27+00:00,495.0,0.23,0.14,0.15,0.0,0.0,17,549,0.41602146484374997,False,REGULAR,USD
SPY250515P00500000,2025-05-08 14:07:09+00:00,500.0,0.16,0.16,0.17,-0.060000002,-27.272728,21,1663,0.39649041015625003,False,REGULAR,USD
SPY250515P00505000,2025-05-08 14:09:32+00:00,505.0,0.2,0.19,0.2,-0.11,-35.48387,23,384,0.37793590820312495,False,REGULAR,USD
SPY250515P00510000,2025-05-08 13:33:28+00:00,510.0,0.24,0.23,0.24,-0.17,-41.463413,57,180,0.36035795898437495,False,REGULAR,USD
SPY250515P00515000,2025-05-08 13:56:13+00:00,515.0,0.3,0.28,0.29,-0.13,-30.232557,16,652,0.34278000976562495,False,REGULAR,USD
SPY250515P00520000,2025-05-08 14:25:40+00:00,520.0,0.35,0.34,0.35,-0.099999994,-22.222221,11,730,0.3242255078124999,False,REGULAR,USD
SPY250515P00525000,2025-05-08 14:34:04+00:00,525.0,0.35,0.38,0.39,-0.26000002,-42.62295,11,674,0.30054410400390624,False,REGULAR,USD
SPY250515P00530000,2025-05-08 14:46:00+00:00,530.0,0.59,0.51,0.52,-0.23000002,-28.048782,63,1047,0.2863840893554687,False,REGULAR,USD
SPY250515P00531000,2025-05-08 15:02:43+00:00,531.0,0.63,0.54,0.55,-0.47000003,-42.727276,277,639,0.2834544311523437,False,REGULAR,USD
SPY250515P00532000,2025-05-08 14:57:27+00:00,532.0,0.68,0.58,0.59,-0.19999999,-22.72727,110,357,0.28125718749999995,False,REGULAR,USD
SPY250515P00533000,2025-05-08 15:00:06+00:00,533.0,0.74,0.62,0.63,-0.5,-40.32258,398,503,0.2788158056640625,False,REGULAR,USD
SPY250515P00534000,2025-05-07 19:09:08+00:00,534.0,0.8,0.66,0.67,-0.32999998,-29.20354,17,386,0.2761302856445312,False,REGULAR,USD
SPY250515P00535000,2025-05-08 14:44:41+00:00,535.0,0.72,0.71,0.72,-0.39999998,-35.714283,29,223,0.2739330419921875,False,REGULAR,USD
SPY250515P00536000,2025-05-08 14:36:39+00:00,536.0,0.76,0.78,0.79,-0.97,-56.069363,364,259,0.27332269653320307,False,REGULAR,USD
SPY250515P00537000,2025-05-08 15:03:52+00:00,537.0,0.97,0.82,0.83,-1.23,-55.90909,46,444,0.26978269287109374,False,REGULAR,USD
SPY250515P00538000,2025-05-08 15:04:28+00:00,538.0,1.06,0.88,0.9,-0.31000006,-22.62774,236,317,0.2683178637695312,False,REGULAR,USD
SPY250515P00539000,2025-05-08 14:57:35+00:00,539.0,1.14,0.94,0.96,-0.76,-40.0,36,108,0.26563234375,False,REGULAR,USD
SPY250515P00540000,2025-05-08 14:42:35+00:00,540.0,1.19,1.02,1.03,-0.3599999,-23.2258,389,836,0.26343510009765625,False,REGULAR,USD
SPY250515P00541000,2025-05-08 14:58:38+00:00,541.0,1.26,1.1,1.12,-0.39999998,-24.096384,88,194,0.2622144091796875,False,REGULAR,USD
SPY250515P00542000,2025-05-08 14:59:23+00:00,542.0,1.44,1.18,1.21,-0.5799999,-28.712868,122,82,0.2606275109863281,False,REGULAR,USD
SPY250515P00543000,2025-05-08 14:08:34+00:00,543.0,1.5,1.29,1.31,-0.6099999,-28.909948,68,105,0.25916268188476566,False,REGULAR,USD
SPY250515P00544000,2025-05-08 14:56:07+00:00,544.0,1.61,1.38,1.41,-0.4899999,-23.333328,81,98,0.2573316455078125,False,REGULAR,USD
SPY250515P00545000,2025-05-08 14:57:56+00:00,545.0,1.73,1.5,1.52,-0.53999996,-23.788546,231,924,0.2556226782226563,False,REGULAR,USD
SPY250515P00546000,2025-05-08 15:05:08+00:00,546.0,1.94,1.62,1.64,-1.46,-42.941174,36,267,0.2539747454833985,False,REGULAR,USD
SPY250515P00547000,2025-05-08 15:07:26+00:00,547.0,1.86,1.77,1.8,-0.4799999,-20.512815,421,1854,0.25391371093750004,False,REGULAR,USD
SPY250515P00548000,2025-05-08 15:09:23+00:00,548.0,1.92,1.9,1.92,-0.5300001,-21.632656,43,252,0.25135026000976557,False,REGULAR,USD
SPY250515P00549000,2025-05-08 15:06:44+00:00,549.0,2.18,2.06,2.09,-0.74,-25.342464,124,209,0.2507399145507812,False,REGULAR,USD
SPY250515P00550000,2025-05-08 14:59:09+00:00,550.0,2.47,2.22,2.25,-0.6700001,-21.337582,464,1214,0.24915301635742187,False,REGULAR,USD
SPY250515P00551000,2025-05-08 15:04:09+00:00,551.0,2.89,2.43,2.46,-0.54999995,-15.988371,131,171,0.2492140509033203,False,REGULAR,USD
SPY250515P00552000,2025-05-08 14:41:30+00:00,552.0,2.66,2.6,2.66,-0.88999987,-25.07042,201,191,0.24829853271484376,False,REGULAR,USD
SPY250515P00553000,2025-05-08 14:37:21+00:00,553.0,2.95,2.82,2.85,-0.75,-20.27027,95,124,0.24646749633789064,False,REGULAR,USD
SPY250515P00554000,2025-05-08 15:04:09+00:00,554.0,3.6,3.04,3.09,-0.47000027,-11.547917,36,128,0.24604025451660155,False,REGULAR,USD
SPY250515P00555000,2025-05-08 15:05:04+00:00,555.0,3.84,3.28,3.31,-0.72,-15.789474,594,354,0.24433128723144532,False,REGULAR,USD
SPY250515P00556000,2025-05-08 14:46:02+00:00,556.0,3.71,3.54,3.57,-1.0500002,-22.058826,87,189,0.24353783813476562,False,REGULAR,USD
SPY250515P00557000,2025-05-08 15:07:32+00:00,557.0,3.99,3.86,3.88,-0.81999993,-17.047815,627,374,0.2439650799560547,False,REGULAR,USD
SPY250515P00558000,2025-05-08 15:01:19+00:00,558.0,4.5,4.11,4.14,-1.0500002,-18.91892,173,192,0.2420730090332031,False,REGULAR,USD
SPY250515P00559000,2025-05-08 15:05:37+00:00,559.0,4.91,4.47,4.51,-0.9000001,-15.490535,621,380,0.24329369995117187,False,REGULAR,USD
SPY250515P00560000,2025-05-08 15:07:00+00:00,560.0,5.06,4.82,4.85,-1.0100002,-16.639212,873,1521,0.24292749267578123,False,REGULAR,USD
SPY250515P00561000,2025-05-08 14:51:04+00:00,561.0,5.29,5.15,5.19,-1.21,-18.615385,99,257,0.2420119744873047,False,REGULAR,USD
SPY250515P00562000,2025-05-08 15:09:16+00:00,562.0,5.53,5.53,5.56,-1.27,-18.67647,124,440,0.2414016290283203,False,REGULAR,USD
SPY250515P00563000,2025-05-08 15:08:14+00:00,563.0,5.96,5.95,6.0,-1.29,-17.793104,740,174,0.24243921630859372,False,REGULAR,USD
SPY250515P00564000,2025-05-08 15:08:15+00:00,564.0,6.44,6.42,6.46,-2.3300004,-26.567848,4302,174,0.24341576904296874,False,REGULAR,USD
SPY250515P00565000,2025-05-08 15:08:37+00:00,565.0,6.9,6.83,6.87,-2.3399997,-25.324673,1559,305,0.24231714721679687,False,REGULAR,USD
SPY250515P00566000,2025-05-08 15:02:04+00:00,566.0,7.78,7.33,7.37,-2.1199994,-21.414137,39,39,0.2433547344970703,False,REGULAR,USD
SPY250515P00567000,2025-05-08 15:00:09+00:00,567.0,8.79,7.82,7.86,-0.23999977,-2.657805,91,62,0.2434768035888672,False,REGULAR,USD
SPY250515P00568000,2025-05-08 14:40:08+00:00,568.0,9.41,8.37,8.42,-0.1800003,-1.8769584,8,75,0.245124736328125,True,REGULAR,USD
SPY250515P00569000,2025-05-08 13:50:30+00:00,569.0,10.25,8.89,8.96,0.17000008,1.6865087,8,100,0.24555197814941404,True,REGULAR,USD
SPY250515P00570000,2025-05-08 14:53:31+00:00,570.0,9.5,9.45,9.52,-3.0600004,-24.363058,97,37,0.24604025451660155,True,REGULAR,USD
SPY250515P00571000,2025-05-07 19:18:35+00:00,571.0,13.7,10.15,10.22,0.0,0.0,10,41,0.2501906036376953,True,REGULAR,USD
SPY250515P00572000,2025-05-07 17:51:25+00:00,572.0,13.75,10.77,10.85,0.0,0.0,37,57,0.25171646728515623,True,REGULAR,USD
SPY250515P00573000,2025-05-05 19:10:38+00:00,573.0,11.1,11.41,11.5,0.0,0.0,2,16,0.2533033654785156,True,REGULAR,USD
SPY250515P00575000,2025-05-08 15:00:31+00:00,575.0,13.99,12.81,12.91,-0.8000002,-5.4090614,30,12,0.258369232788086,True,REGULAR,USD
SPY250515P00580000,2025-05-08 15:04:57+00:00,580.0,18.3,16.9,17.06,-3.710001,-16.855978,10,15,0.2838206384277343,True,REGULAR,USD
SPY250515P00585000,2025-05-06 14:18:58+00:00,585.0,25.49,21.23,21.74,0.0,0.0,10,13,0.32044136596679684,True,REGULAR,USD
