contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY250513P00250000,2025-04-30 19:00:09+00:00,250.0,0.01,0.0,0.01,0.0,0.0,,67,1.8125009374999999,False,REGULAR,USD
SPY250513P00255000,2025-04-30 19:00:28+00:00,255.0,0.01,0.0,0.01,0.0,0.0,,14,1.78125109375,False,REGULAR,USD
SPY250513P00260000,2025-04-30 18:59:38+00:00,260.0,0.01,0.0,0.01,0.0,0.0,,13,1.75000125,False,REGULAR,USD
SPY250513P00280000,2025-05-01 14:11:41+00:00,280.0,0.01,0.0,0.01,0.0,0.0,,62,1.5625021874999998,False,REGULAR,USD
SPY250513P00295000,2025-05-01 13:40:28+00:00,295.0,0.01,0.0,0.01,0.0,0.0,,532,1.46875265625,False,REGULAR,USD
SPY250513P00300000,2025-05-01 19:58:55+00:00,300.0,0.01,0.0,0.01,0.0,0.0,,1534,1.4375028125,False,REGULAR,USD
SPY250513P00305000,2025-05-01 17:09:32+00:00,305.0,0.01,0.0,0.01,0.0,0.0,,22,1.40625296875,False,REGULAR,USD
SPY250513P00310000,2025-04-30 19:10:05+00:00,310.0,0.02,0.0,0.01,0.0,0.0,,188,1.3750031249999999,False,REGULAR,USD
SPY250513P00315000,2025-04-30 19:09:41+00:00,315.0,0.02,0.0,0.01,0.0,0.0,,185,1.3125034374999998,False,REGULAR,USD
SPY250513P00340000,2025-05-02 14:23:38+00:00,340.0,0.01,0.0,0.01,0.0,0.0,12.0,12,1.15625421875,False,REGULAR,USD
SPY250513P00345000,2025-05-02 15:45:46+00:00,345.0,0.02,0.0,0.01,0.0,0.0,111.0,354,1.125004375,False,REGULAR,USD
SPY250513P00350000,2025-05-01 17:09:16+00:00,350.0,0.02,0.0,0.01,0.0,0.0,,176,1.09375453125,False,REGULAR,USD
SPY250513P00370000,2025-05-06 13:33:27+00:00,370.0,0.01,0.0,0.01,0.0,0.0,200.0,287,0.9687503125,False,REGULAR,USD
