contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY250530P00300000,2025-05-07 20:09:08+00:00,300.0,0.03,0.02,0.03,0.0,0.0,622.0,2419,0.8281267187499999,False,REGULAR,USD
SPY250530P00305000,2025-05-07 19:43:04+00:00,305.0,0.04,0.02,0.03,0.0,0.0,602.0,2555,0.804689453125,False,REGULAR,USD
SPY250530P00310000,2025-05-08 14:52:49+00:00,310.0,0.03,0.03,0.04,-0.03,-50.0,300.0,630,0.8085956640624999,False,REGULAR,USD
SPY250530P00315000,2025-05-07 20:09:16+00:00,315.0,0.03,0.03,0.04,-0.01,-25.0,12.0,1536,0.789064609375,False,REGULAR,USD
SPY250530P00320000,2025-05-07 20:08:36+00:00,320.0,0.04,0.03,0.04,0.0,0.0,49.0,1098,0.7695335546875001,False,REGULAR,USD
SPY250530P00325000,2025-05-08 14:52:49+00:00,325.0,0.04,0.03,0.04,-0.010000002,-20.000002,300.0,679,0.7500025,False,REGULAR,USD
SPY250530P00330000,2025-05-02 18:14:47+00:00,330.0,0.05,0.04,0.05,-0.02,-28.571428,30.0,1090,0.7460962890625,False,REGULAR,USD
SPY250530P00335000,2025-05-07 13:30:06+00:00,335.0,0.05,0.04,0.05,-0.02,-28.571428,20.0,923,0.726565234375,False,REGULAR,USD
SPY250530P00340000,2025-05-08 14:52:49+00:00,340.0,0.05,0.04,0.05,-0.029999997,-37.499996,310.0,792,0.70898728515625,False,REGULAR,USD
SPY250530P00345000,2025-05-07 20:03:58+00:00,345.0,0.06,0.05,0.06,0.0,0.0,7.0,1030,0.70312796875,False,REGULAR,USD
SPY250530P00350000,2025-05-07 19:14:07+00:00,350.0,0.05,0.06,0.07,-0.029999997,-37.499996,1.0,1164,0.6953155468750001,False,REGULAR,USD
SPY250530P00355000,2025-05-08 14:52:49+00:00,355.0,0.06,0.06,0.07,-0.040000003,-40.000004,301.0,868,0.6757844921875001,False,REGULAR,USD
SPY250530P00360000,2025-05-07 18:55:00+00:00,360.0,0.1,0.06,0.07,0.0,0.0,69.0,998,0.65820654296875,False,REGULAR,USD
SPY250530P00365000,2025-05-08 14:52:49+00:00,365.0,0.07,0.07,0.08,-0.030000001,-30.0,301.0,716,0.648441015625,False,REGULAR,USD
SPY250530P00370000,2025-05-08 14:35:33+00:00,370.0,0.08,0.08,0.09,-0.049999997,-38.461536,25.0,1928,0.63867548828125,False,REGULAR,USD
SPY250530P00375000,2025-05-07 13:37:58+00:00,375.0,0.13,0.09,0.1,0.0,0.0,3.0,771,0.6269568554687501,False,REGULAR,USD
SPY250530P00380000,2025-05-07 18:17:53+00:00,380.0,0.16,0.1,0.11,0.0,0.0,45.0,1859,0.6152382226562501,False,REGULAR,USD
SPY250530P00385000,2025-05-06 19:59:01+00:00,385.0,0.16,0.1,0.11,0.0,0.0,40.0,1040,0.596683720703125,False,REGULAR,USD
SPY250530P00390000,2025-05-07 18:23:33+00:00,390.0,0.19,0.12,0.13,0.0,0.0,41.0,1462,0.5898478515625001,False,REGULAR,USD
SPY250530P00395000,2025-05-07 18:57:39+00:00,395.0,0.18,0.13,0.15,0.0,0.0,6.0,844,0.579105771484375,False,REGULAR,USD
SPY250530P00400000,2025-05-08 14:28:37+00:00,400.0,0.12,0.15,0.16,-0.04,-25.0,77.0,3497,0.567387138671875,False,REGULAR,USD
SPY250530P00405000,2025-05-07 19:50:35+00:00,405.0,0.19,0.17,0.18,0.0,0.0,449.0,1044,0.5571333349609376,False,REGULAR,USD
SPY250530P00410000,2025-05-08 13:38:33+00:00,410.0,0.16,0.17,0.18,-0.099999994,-38.461536,4.0,36783,0.5390671093750001,False,REGULAR,USD
SPY250530P00415000,2025-05-07 18:45:59+00:00,415.0,0.18,0.19,0.2,-0.09,-33.333332,6.0,1257,0.5278367529296876,False,REGULAR,USD
