contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY250513C00315000,2025-05-01 15:55:47+00:00,315.0,245.9,247.69,249.53,0.0,0.0,,14,1.0000000000000003e-05,True,REGULAR,USD
SPY250513C00450000,2025-05-08 14:53:46+00:00,450.0,113.28,112.68,114.62,-2.3099976,-1.9984407,5.0,1,1.0000000000000003e-05,True,REGULAR,USD
SPY250513C00486000,2025-05-01 13:36:09+00:00,486.0,74.31,76.68,78.67,0.0,0.0,,2,1.0000000000000003e-05,True,REGULAR,USD
SPY250513C00500000,2025-05-05 16:30:09+00:00,500.0,66.22,62.85,64.69,0.0,0.0,26.0,37,1.0000000000000003e-05,True,REGULAR,USD
SPY250513C00508000,2025-05-02 18:00:10+00:00,508.0,59.99,54.51,56.34,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD
SPY250513C00510000,2025-05-05 16:57:57+00:00,510.0,56.25,52.52,54.22,0.0,0.0,1.0,10,1.0000000000000003e-05,True,REGULAR,USD
SPY250513C00512000,2025-05-07 20:01:47+00:00,512.0,50.34,50.52,52.33,0.0,0.0,2.0,8,1.0000000000000003e-05,True,REGULAR,USD
SPY250513C00513000,2025-05-02 13:46:12+00:00,513.0,52.44,49.23,51.41,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD
SPY250513C00515000,2025-05-07 19:47:10+00:00,515.0,46.67,48.95,49.1,0.0,0.0,4.0,12,1.0000000000000003e-05,True,REGULAR,USD
SPY250513C00519000,2025-05-02 13:51:25+00:00,519.0,45.04,43.8,45.75,0.0,0.0,2.0,2,1.0000000000000003e-05,True,REGULAR,USD
SPY250513C00520000,2025-05-07 19:43:05+00:00,520.0,43.14,42.83,44.77,0.0,0.0,5.0,7,1.0000000000000003e-05,True,REGULAR,USD
SPY250513C00525000,2025-05-05 20:04:48+00:00,525.0,39.33,39.05,39.2,0.0,0.0,2.0,2,1.0000000000000003e-05,True,REGULAR,USD
SPY250513C00529000,2025-05-02 14:19:36+00:00,529.0,36.38,34.12,35.91,-1.5399971,-4.061174,2.0,20,1.0000000000000003e-05,True,REGULAR,USD
SPY250513C00530000,2025-05-07 17:53:29+00:00,530.0,30.1,34.14,34.3,0.0,0.0,2.0,17,1.0000000000000003e-05,True,REGULAR,USD
SPY250513C00532000,2025-05-05 14:29:16+00:00,532.0,32.67,32.21,32.35,0.0,0.0,1.0,2,1.0000000000000003e-05,True,REGULAR,USD
SPY250513C00533000,2025-05-08 13:35:30+00:00,533.0,32.41,31.12,31.27,-0.38000107,-1.1588931,5.0,4,1.0000000000000003e-05,True,REGULAR,USD
SPY250513C00535000,2025-05-07 17:21:31+00:00,535.0,27.02,29.25,29.4,0.0,0.0,9.0,21,1.0000000000000003e-05,True,REGULAR,USD
SPY250513C00536000,2025-05-08 13:32:12+00:00,536.0,29.78,28.27,28.42,2.040001,7.354005,1.0,6,1.0000000000000003e-05,True,REGULAR,USD
SPY250513C00538000,2025-05-07 16:34:08+00:00,538.0,23.11,26.4,26.54,0.0,0.0,3.0,5,1.0000000000000003e-05,True,REGULAR,USD
SPY250513C00539000,2025-05-07 19:37:28+00:00,539.0,21.39,25.44,25.58,0.0,0.0,50.0,25,1.0000000000000003e-05,True,REGULAR,USD
