contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY250606P00400000,2025-05-08 14:37:16+00:00,400.0,0.21,0.23,0.24,-0.060000017,-22.222229,16,791,0.5224657128906249,False,REGULAR,USD
SPY250606P00405000,2025-05-07 19:41:36+00:00,405.0,0.23,0.25,0.26,-0.10000001,-30.303032,5,593,0.5112353564453125,False,REGULAR,USD
SPY250606P00410000,2025-05-07 14:30:52+00:00,410.0,0.34,0.29,0.3,0.0,0.0,9,591,0.5043994873046875,False,REGULAR,USD
SPY250606P00415000,2025-05-07 14:24:10+00:00,415.0,0.29,0.32,0.33,-0.09,-23.684212,2,57,0.495122236328125,False,REGULAR,USD
SPY250606P00420000,2025-05-08 14:37:16+00:00,420.0,0.31,0.33,0.34,-0.13999999,-31.111107,8,92,0.4804739453125,False,REGULAR,USD
SPY250606P00425000,2025-05-08 14:28:20+00:00,425.0,0.33,0.35,0.37,-0.099999994,-23.255812,16123,25137,0.46924358886718753,False,REGULAR,USD
SPY250606P00430000,2025-05-08 14:41:38+00:00,430.0,0.36,0.38,0.4,-0.18,-33.333332,1,88,0.45752495605468757,False,REGULAR,USD
SPY250606P00435000,2025-05-07 18:41:20+00:00,435.0,0.4,0.41,0.43,-0.12999997,-24.528296,1,240,0.44556218505859374,False,REGULAR,USD
SPY250606P00440000,2025-05-08 14:01:20+00:00,440.0,0.43,0.46,0.47,-0.19,-30.64516,3,410,0.4348201049804688,False,REGULAR,USD
SPY250606P00445000,2025-05-07 18:41:20+00:00,445.0,0.62,0.5,0.51,0.0,0.0,52,312,0.4233456103515625,False,REGULAR,USD
SPY250606P00450000,2025-05-08 14:18:31+00:00,450.0,0.52,0.53,0.54,-0.08000004,-13.333339,43,805,0.4101621484375,False,REGULAR,USD
SPY250606P00455000,2025-05-08 14:52:49+00:00,455.0,0.55,0.57,0.58,-0.21999997,-28.571424,83,461,0.3979552392578125,False,REGULAR,USD
SPY250606P00460000,2025-05-08 14:52:49+00:00,460.0,0.6,0.62,0.64,-0.089999974,-13.043474,16174,50897,0.3874572973632812,False,REGULAR,USD
SPY250606P00465000,2025-05-08 13:46:52+00:00,465.0,0.7,0.67,0.69,-0.07999998,-10.256408,409,439,0.3754945263671875,False,REGULAR,USD
SPY250606P00470000,2025-05-08 14:52:49+00:00,470.0,0.71,0.73,0.75,-0.16000003,-18.390806,40,607,0.36377589355468753,False,REGULAR,USD
SPY250606P00475000,2025-05-08 14:52:32+00:00,475.0,0.76,0.81,0.82,-0.31000006,-28.971966,27,502,0.3523013989257812,False,REGULAR,USD
SPY250606P00480000,2025-05-08 14:52:49+00:00,480.0,0.87,0.89,0.9,-0.24000001,-21.621622,345,968,0.34107104248046877,False,REGULAR,USD
SPY250606P00485000,2025-05-08 14:08:44+00:00,485.0,1.04,1.01,1.02,-0.13,-11.111112,25,1256,0.33179379150390625,False,REGULAR,USD
SPY250606P00490000,2025-05-08 14:43:19+00:00,490.0,1.09,1.11,1.13,-0.21999991,-16.793886,361,2465,0.32080757324218745,False,REGULAR,USD
SPY250606P00495000,2025-05-08 15:04:18+00:00,495.0,1.4,1.27,1.29,-0.110000014,-7.2847695,331,26328,0.31165239135742184,False,REGULAR,USD
