contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY250523C00300000,2025-04-28 17:30:28+00:00,300.0,246.64,263.06,264.98,0.0,0.0,2.0,3,1.0000000000000003e-05,True,REGULAR,USD
SPY250523C00335000,2025-04-28 16:33:15+00:00,335.0,212.43,227.84,229.56,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD
SPY250523C00355000,2025-04-10 18:25:28+00:00,355.0,174.78,207.97,209.62,0.0,0.0,,4,1.0000000000000003e-05,True,REGULAR,USD
SPY250523C00370000,2025-04-10 18:46:44+00:00,370.0,161.43,193.25,195.16,0.0,0.0,,79,1.0000000000000003e-05,True,REGULAR,USD
SPY250523C00375000,2025-04-22 17:32:10+00:00,375.0,149.91,187.98,190.19,0.0,0.0,10.0,88,1.0000000000000003e-05,True,REGULAR,USD
SPY250523C00380000,2025-04-24 13:30:02+00:00,380.0,158.42,183.01,185.2,0.0,0.0,1.0,51,1.0000000000000003e-05,True,REGULAR,USD
SPY250523C00385000,2025-04-30 18:29:33+00:00,385.0,166.29,178.07,180.22,0.0,0.0,2.0,12,1.0000000000000003e-05,True,REGULAR,USD
SPY250523C00390000,2025-04-24 13:44:10+00:00,390.0,149.75,172.85,174.85,0.0,0.0,10.0,41,1.0000000000000003e-05,True,REGULAR,USD
SPY250523C00395000,2025-04-15 17:16:34+00:00,395.0,146.93,168.34,170.24,0.0,0.0,1.0,21,1.0000000000000003e-05,True,REGULAR,USD
SPY250523C00400000,2025-04-10 13:30:22+00:00,400.0,136.75,163.4,165.26,0.0,0.0,,45,1.0000000000000003e-05,True,REGULAR,USD
SPY250523C00405000,2025-04-28 14:07:00+00:00,405.0,147.66,158.39,160.28,0.0,0.0,10.0,20,1.0000000000000003e-05,True,REGULAR,USD
SPY250523C00410000,2025-04-24 19:55:35+00:00,410.0,139.1,153.08,154.92,0.0,0.0,10.0,20,1.0000000000000003e-05,True,REGULAR,USD
SPY250523C00415000,2025-04-30 18:07:03+00:00,415.0,137.58,147.37,149.36,0.0,0.0,1.0,11,1.0000000000000003e-05,True,REGULAR,USD
SPY250523C00420000,2025-04-09 18:35:13+00:00,420.0,121.33,143.43,145.34,0.0,0.0,,72,1.0000000000000003e-05,True,REGULAR,USD
SPY250523C00425000,2025-04-10 18:49:15+00:00,425.0,107.77,137.98,139.87,0.0,0.0,,8,1.0000000000000003e-05,True,REGULAR,USD
SPY250523C00430000,2025-04-09 17:35:20+00:00,430.0,108.86,133.67,135.39,0.0,0.0,,5,1.0000000000000003e-05,True,REGULAR,USD
SPY250523C00435000,2025-04-25 16:01:05+00:00,435.0,114.29,128.23,130.02,0.0,0.0,1.0,20,1.0000000000000003e-05,True,REGULAR,USD
SPY250523C00440000,2025-05-07 20:07:06+00:00,440.0,122.23,123.51,125.45,0.0,0.0,2.0,7,1.0000000000000003e-05,True,REGULAR,USD
SPY250523C00445000,2025-04-21 16:37:37+00:00,445.0,72.65,118.53,120.49,0.0,0.0,1.0,4,1.0000000000000003e-05,True,REGULAR,USD
SPY250523C00450000,2025-04-24 18:06:14+00:00,450.0,98.7,113.58,115.51,0.0,0.0,8.0,19,1.0000000000000003e-05,True,REGULAR,USD
