contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY250509P00250000,2025-04-24 19:49:16+00:00,250.0,0.01,0.0,0.01,0.0,0.0,,1901,3.1250021875,False,REGULAR,USD
SPY250509P00260000,2025-05-05 13:36:34+00:00,260.0,0.01,0.0,0.01,0.0,0.0,1.0,404,3.0000025,False,REGULAR,USD
SPY250509P00265000,2025-05-01 17:42:24+00:00,265.0,0.01,0.0,0.01,0.0,0.0,,1,2.93750265625,False,REGULAR,USD
SPY250509P00270000,2025-04-24 16:15:43+00:00,270.0,0.01,0.0,0.01,0.0,0.0,,3,2.8750028125,False,REGULAR,USD
SPY250509P00275000,2025-04-25 18:46:41+00:00,275.0,0.01,0.0,0.01,0.0,0.0,825.0,826,2.81250296875,False,REGULAR,USD
SPY250509P00280000,2025-04-30 19:04:05+00:00,280.0,0.01,0.0,0.01,0.0,0.0,,330,2.750003125,False,REGULAR,USD
SPY250509P00290000,2025-04-30 19:44:09+00:00,290.0,0.01,0.0,0.01,0.0,0.0,17.0,39,2.6250034375,False,REGULAR,USD
SPY250509P00295000,2025-04-29 17:09:35+00:00,295.0,0.01,0.0,0.01,0.0,0.0,507.0,728,2.56250359375,False,REGULAR,USD
SPY250509P00300000,2025-05-02 14:04:34+00:00,300.0,0.01,0.0,0.01,0.0,0.0,32.0,2295,2.50000375,False,REGULAR,USD
SPY250509P00305000,2025-04-28 19:49:10+00:00,305.0,0.01,0.0,0.01,0.0,0.0,2.0,115,2.43750390625,False,REGULAR,USD
SPY250509P00310000,2025-04-30 19:52:26+00:00,310.0,0.01,0.0,0.01,0.0,0.0,200.0,328,2.3750040624999995,False,REGULAR,USD
SPY250509P00315000,2025-04-30 20:08:48+00:00,315.0,0.01,0.0,0.01,0.0,0.0,2.0,189,2.3125042187499996,False,REGULAR,USD
SPY250509P00320000,2025-05-02 19:22:26+00:00,320.0,0.01,0.0,0.01,0.0,0.0,3.0,378,2.2500043749999996,False,REGULAR,USD
SPY250509P00325000,2025-04-29 19:30:26+00:00,325.0,0.01,0.0,0.01,0.0,0.0,13.0,297,2.1875045312499997,False,REGULAR,USD
SPY250509P00330000,2025-04-28 17:54:00+00:00,330.0,0.02,0.0,0.01,0.0,0.0,8.0,68,2.1250046874999997,False,REGULAR,USD
SPY250509P00335000,2025-04-30 14:50:48+00:00,335.0,0.03,0.0,0.01,0.0,0.0,382.0,1126,2.0625048437499998,False,REGULAR,USD
SPY250509P00340000,2025-05-01 16:49:19+00:00,340.0,0.01,0.0,0.01,0.0,0.0,121.0,695,2.000005,False,REGULAR,USD
SPY250509P00345000,2025-05-05 13:32:43+00:00,345.0,0.01,0.0,0.01,0.0,0.0,13.0,983,1.9375003125,False,REGULAR,USD
SPY250509P00350000,2025-05-02 19:21:45+00:00,350.0,0.01,0.0,0.01,0.0,0.0,5.0,1380,1.9062504687500001,False,REGULAR,USD
SPY250509P00355000,2025-05-02 14:53:51+00:00,355.0,0.01,0.0,0.01,0.0,0.0,1.0,1121,1.875000625,False,REGULAR,USD
SPY250509P00360000,2025-05-02 20:00:46+00:00,360.0,0.01,0.0,0.01,0.0,0.0,2.0,1482,1.8125009374999999,False,REGULAR,USD
SPY250509P00365000,2025-05-02 14:53:42+00:00,365.0,0.01,0.0,0.01,0.0,0.0,2.0,520,1.75000125,False,REGULAR,USD
SPY250509P00370000,2025-05-01 19:53:54+00:00,370.0,0.01,0.0,0.01,0.0,0.0,243.0,746,1.6875015625,False,REGULAR,USD
SPY250509P00375000,2025-05-02 13:30:21+00:00,375.0,0.01,0.0,0.01,0.0,0.0,3.0,803,1.625001875,False,REGULAR,USD
SPY250509P00380000,2025-05-06 18:53:59+00:00,380.0,0.01,0.0,0.01,0.0,0.0,2.0,737,1.5937520312499998,False,REGULAR,USD
SPY250509P00385000,2025-05-01 15:20:00+00:00,385.0,0.02,0.0,0.01,0.0,0.0,5.0,545,1.5625021874999998,False,REGULAR,USD
