contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY250509C00250000,2025-04-30 18:05:41+00:00,250.0,300.48,311.6,313.94,0.0,0.0,14.0,30,1.0000000000000003e-05,True,REGULAR,USD
SPY250509C00260000,2025-05-02 13:33:06+00:00,260.0,305.37,302.54,304.46,0.0,0.0,60.0,65,1.0000000000000003e-05,True,REGULAR,USD
SPY250509C00300000,2025-05-01 16:02:32+00:00,300.0,260.96,261.85,264.47,0.0,0.0,1.0,6,1.0000000000000003e-05,True,REGULAR,USD
SPY250509C00305000,2025-04-09 17:18:52+00:00,305.0,195.95,257.51,259.24,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD
SPY250509C00350000,2025-04-09 19:30:26+00:00,350.0,192.27,212.8,214.49,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD
SPY250509C00355000,2025-04-30 18:07:03+00:00,355.0,196.63,207.51,209.49,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD
SPY250509C00360000,2025-04-08 18:13:29+00:00,360.0,147.32,202.82,204.5,0.0,0.0,,24,1.0000000000000003e-05,True,REGULAR,USD
SPY250509C00370000,2025-04-10 17:45:06+00:00,370.0,156.38,192.73,194.5,0.0,0.0,,25,1.0000000000000003e-05,True,REGULAR,USD
SPY250509C00375000,2025-04-28 19:07:52+00:00,375.0,174.9,187.74,189.49,0.0,0.0,1.0,3,1.0000000000000003e-05,True,REGULAR,USD
SPY250509C00390000,2025-05-01 16:34:39+00:00,390.0,171.01,172.83,174.51,0.0,0.0,2.0,2,1.0000000000000003e-05,True,REGULAR,USD
SPY250509C00400000,2025-05-07 18:29:18+00:00,400.0,158.43,162.81,164.51,0.0,0.0,16.0,10,1.0000000000000003e-05,True,REGULAR,USD
SPY250509C00405000,2025-04-22 18:50:16+00:00,405.0,123.05,157.75,159.5,0.0,0.0,1.0,28,1.0000000000000003e-05,True,REGULAR,USD
SPY250509C00410000,2025-04-10 17:31:27+00:00,410.0,114.39,152.76,154.51,0.0,0.0,4.0,11,1.0000000000000003e-05,True,REGULAR,USD
SPY250509C00420000,2025-05-01 17:59:36+00:00,420.0,141.08,142.18,144.27,0.0,0.0,4.0,5,1.0000000000000003e-05,True,REGULAR,USD
SPY250509C00425000,2025-04-15 13:40:39+00:00,425.0,118.76,137.53,139.1,0.0,0.0,1.0,10,1.0000000000000003e-05,True,REGULAR,USD
SPY250509C00430000,2025-04-08 13:34:20+00:00,430.0,96.19,133.85,135.91,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD
SPY250509C00435000,2025-05-02 16:00:45+00:00,435.0,130.53,127.8,129.53,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD
SPY250509C00440000,2025-04-29 14:55:00+00:00,440.0,113.04,122.84,124.52,0.0,0.0,1.0,12,1.0000000000000003e-05,True,REGULAR,USD
SPY250509C00445000,2025-04-25 19:48:13+00:00,445.0,105.44,117.85,119.53,0.0,0.0,2.0,3,1.0000000000000003e-05,True,REGULAR,USD
SPY250509C00450000,2025-05-02 18:11:21+00:00,450.0,118.05,112.83,114.52,0.0,0.0,3.0,23,1.0000000000000003e-05,True,REGULAR,USD
SPY250509C00455000,2025-04-22 14:49:47+00:00,455.0,71.26,107.12,109.52,0.0,0.0,10.0,18,1.0000000000000003e-05,True,REGULAR,USD
SPY250509C00460000,2025-05-07 19:49:55+00:00,460.0,99.29,102.81,104.53,0.0,0.0,5.0,11,1.0000000000000003e-05,True,REGULAR,USD
SPY250509C00465000,2025-05-07 19:33:28+00:00,465.0,93.43,97.86,99.54,0.0,0.0,2.0,22,1.0000000000000003e-05,True,REGULAR,USD
SPY250509C00470000,2025-05-01 15:18:28+00:00,470.0,94.24,93.41,94.11,0.0,0.0,3.0,132,1.0000000000000003e-05,True,REGULAR,USD
SPY250509C00475000,2025-05-07 19:33:28+00:00,475.0,83.45,87.77,89.53,0.0,0.0,2.0,82,1.0000000000000003e-05,True,REGULAR,USD
SPY250509C00480000,2025-05-07 18:29:18+00:00,480.0,78.44,82.79,84.54,0.0,0.0,16.0,78,1.0000000000000003e-05,True,REGULAR,USD
SPY250509C00483000,2025-04-30 15:43:45+00:00,483.0,67.1,79.86,81.53,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD
SPY250509C00485000,2025-05-06 16:12:07+00:00,485.0,76.69,78.37,79.54,0.0,0.0,2.0,194,1.0000000000000003e-05,True,REGULAR,USD
SPY250509C00490000,2025-05-07 19:50:04+00:00,490.0,70.32,72.8,74.56,0.0,0.0,12.0,162,1.0000000000000003e-05,True,REGULAR,USD
SPY250509C00495000,2025-05-02 15:01:23+00:00,495.0,70.04,68.41,70.07,-2.1500015,-2.9782538,1.0,305,1.0000000000000003e-05,True,REGULAR,USD
SPY250509C00498000,2025-05-07 19:47:05+00:00,498.0,63.31,64.55,66.56,0.0,0.0,3.0,4,1.0000000000000003e-05,True,REGULAR,USD
SPY250509C00500000,2025-05-08 14:18:32+00:00,500.0,63.64,63.28,64.33,2.7200012,4.4648743,1.0,388,1.0000000000000003e-05,True,REGULAR,USD
SPY250509C00501000,2025-05-07 19:50:06+00:00,501.0,59.23,61.88,63.56,0.0,0.0,6.0,19,1.0000000000000003e-05,True,REGULAR,USD
SPY250509C00502000,2025-05-07 19:50:09+00:00,502.0,57.23,60.8,62.56,0.0,0.0,8.0,47,1.0000000000000003e-05,True,REGULAR,USD
SPY250509C00503000,2025-05-07 19:50:10+00:00,503.0,57.1,58.98,61.15,0.0,0.0,7.0,45,1.0000000000000003e-05,True,REGULAR,USD
SPY250509C00504000,2025-05-07 19:47:10+00:00,504.0,57.61,58.61,60.18,0.0,0.0,6.0,43,1.0000000000000003e-05,True,REGULAR,USD
SPY250509C00505000,2025-05-07 19:50:10+00:00,505.0,55.1,58.38,59.65,0.0,0.0,2.0,284,1.0000000000000003e-05,True,REGULAR,USD
SPY250509C00506000,2025-05-07 19:47:10+00:00,506.0,55.28,56.05,58.57,0.0,0.0,3.0,71,1.0000000000000003e-05,True,REGULAR,USD
SPY250509C00507000,2025-05-07 19:47:04+00:00,507.0,54.13,55.88,57.57,0.0,0.0,2.0,61,1.0000000000000003e-05,True,REGULAR,USD
SPY250509C00508000,2025-05-07 19:47:04+00:00,508.0,53.76,54.07,56.17,0.0,0.0,2.0,91,1.0000000000000003e-05,True,REGULAR,USD
SPY250509C00509000,2025-05-07 19:56:29+00:00,509.0,52.47,54.58,55.57,0.0,0.0,3.0,228,1.0000000000000003e-05,True,REGULAR,USD
SPY250509C00510000,2025-05-07 19:50:00+00:00,510.0,53.44,52.6,54.08,3.619999,7.2661557,51.0,1518,1.0000000000000003e-05,True,REGULAR,USD
SPY250509C00511000,2025-05-06 13:47:28+00:00,511.0,52.06,52.58,53.56,4.1900024,8.752877,4.0,151,1.0000000000000003e-05,True,REGULAR,USD
SPY250509C00512000,2025-05-07 19:50:00+00:00,512.0,48.87,50.64,52.18,0.0,0.0,12.0,153,1.0000000000000003e-05,True,REGULAR,USD
SPY250509C00513000,2025-05-07 18:06:20+00:00,513.0,45.39,49.81,51.57,0.0,0.0,5.0,111,1.0000000000000003e-05,True,REGULAR,USD
SPY250509C00514000,2025-05-07 19:50:04+00:00,514.0,46.06,48.33,50.32,0.0,0.0,1.0,108,1.0000000000000003e-05,True,REGULAR,USD
