contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY250515C00505000,2025-05-02 16:24:31+00:00,505.0,63.46,57.3,60.13,0.0,0.0,2,3,1.0000000000000003e-05,True,REGULAR,USD
SPY250515C00520000,2025-05-06 18:29:38+00:00,520.0,41.64,44.26,44.43,0.0,0.0,100,101,1.0000000000000003e-05,True,REGULAR,USD
SPY250515C00525000,2025-05-06 13:51:01+00:00,525.0,33.94,39.36,39.51,0.0,0.0,1,6,1.0000000000000003e-05,True,REGULAR,USD
SPY250515C00535000,2025-05-07 18:18:05+00:00,535.0,24.62,29.79,29.94,0.0,0.0,4,7,1.0000000000000003e-05,True,REGULAR,USD
SPY250515C00537000,2025-05-02 13:42:54+00:00,537.0,30.09,27.78,27.92,0.0,0.0,1,1,1.0000000000000003e-05,True,REGULAR,USD
SPY250515C00540000,2025-05-07 19:08:03+00:00,540.0,22.54,25.06,25.19,0.0,0.0,38,229,1.0000000000000003e-05,True,REGULAR,USD
SPY250515C00542000,2025-05-08 13:55:37+00:00,542.0,23.84,23.14,23.27,2.0900002,9.609196,1,6,1.0000000000000003e-05,True,REGULAR,USD
SPY250515C00545000,2025-05-07 19:50:13+00:00,545.0,21.68,20.55,20.67,3.9300003,22.140846,3,14,1.0000000000000003e-05,True,REGULAR,USD
SPY250515C00546000,2025-05-08 14:53:42+00:00,546.0,19.7,19.64,19.76,1.6500015,9.141283,87,58,1.0000000000000003e-05,True,REGULAR,USD
SPY250515C00548000,2025-05-08 14:28:58+00:00,548.0,18.63,17.94,18.05,4.1399994,28.571424,2,5,1.0000000000000003e-05,True,REGULAR,USD
SPY250515C00550000,2025-05-08 14:36:12+00:00,550.0,16.84,16.24,16.54,1.96,13.172043,2,253,1.0000000000000003e-05,True,REGULAR,USD
SPY250515C00554000,2025-05-08 14:09:36+00:00,554.0,13.12,13.13,13.21,1.3499994,11.469833,1,31,1.0000000000000003e-05,True,REGULAR,USD
SPY250515C00555000,2025-05-08 14:37:18+00:00,555.0,11.75,12.37,12.45,0.6499996,5.855852,99,134,1.0000000000000003e-05,True,REGULAR,USD
SPY250515C00556000,2025-05-08 15:03:35+00:00,556.0,10.92,11.63,11.7,0.8199997,8.118809,4,246,0.07837835693359377,True,REGULAR,USD
